search_term,ad_id,page_name,page_id,status,platforms,ad_copy_preview,creation_date,start_date,stop_date,impressions_lower,impressions_upper,spend_lower,spend_upper,currency,estimated_audience_lower,estimated_audience_upper,languages,snapshot_url,collected_at
Puma,1379255590887002,807garage.id Authentic Sneaker,1001632409699906,ACTIVE,INSTAGRAM,  |  ,N/A,2026-03-03,2026-04-01,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,2026-04-02 18:23:34
Adidas,944520198259112,807garage.id Authentic Sneaker,1001632409699906,ACTIVE,INSTAGRAM,  |  ,N/A,2026-03-02,2026-04-01,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,2026-04-02 18:23:04
Puma,2175640773267937,807garage.id Authentic Sneaker,1001632409699906,ACTIVE,INSTAGRAM,  |  ,N/A,2026-02-27,2026-04-01,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,2026-04-02 18:23:34
H&M,783270871040370,ABA Bank,126242240741185,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK","អ្នកប្រើ ABA Mobile ទទួលបានអត្ថប្រយោជន៍បន្ថែម លើសពីមើលកុន! 🍿🥤
ទិញសំបុត្រកុន Legend Cinema ពីមុខងារ សេវាកម្ម ក្នុង ABA Mobile ដោយចំណាយចាប់ពី $9 អ្នកនឹងរីករាយជាមួយភេសជ្ជៈ − ទិញកែវតូច បានកែវកណ្ដាល!

នៅលើ",N/A,2025-08-07,2025-12-04,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,2026-04-02 18:25:00
flash sale,461693866576185,AdvAdvertisements Home,331542593376133,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER","🔥 Sillones, Muebles de Salón y Sofás Clásicos y Modernos de Alta Calidad a Precios de Outlet: ¡No podrás creer estos precios! 🤑 | Sofás sin vender 2023 🛋 : Todos los Tamaños y estilos de los Mejores D",N/A,2024-07-17,2025-04-17,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,2026-04-02 18:25:25
H&M,1865475310731463,Akihabara Auctions,110364818266333,INACTIVE,"FACEBOOK, INSTAGRAM","◆ 5th Anniversary Special Auction ◆ [ 2-Day Event ] (#AnimeCel, #Genga, #Douga, #HANKEN)
- Free Participation | Accessible via Mobile/PC | Credit Card Payment Accepted | International Shipping Availab",N/A,2025-09-15,2025-09-30,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,2026-04-02 18:25:00
flash sale,3753391578127481,Akulaku Indonesia,278932119108288,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS","Kredit Limit hingga 25 Juta! 💳
Belanja kebutuhan besar jadi gampang. **Bebas bunga & DP 0** untuk banyak produk pilihan👍",N/A,2026-02-25,2026-04-02,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,2026-04-02 18:25:25
flash sale,1861614304497902,Akulaku Indonesia,278932119108288,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS","Kredit Limit hingga 25 Juta! 💳
Belanja kebutuhan besar jadi gampang. **Bebas bunga & DP 0** untuk banyak produk pilihan👍",N/A,2026-02-24,2026-04-02,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,2026-04-02 18:25:25
diskon,26000533262914544,Akulaku Indonesia,278932119108288,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",Puluhan Ribu Pengguna Beli HP Baru di Akulaku!📱,N/A,2026-01-31,2026-04-02,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,2026-04-02 18:25:51
diskon,744744845015965,Akulaku Indonesia,278932119108288,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DP Rp0 + Gratis Ongkir + Diskon Tambahan! Periode terbatas. Jangan lewatkan!⏰,N/A,2026-01-30,2026-04-02,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,2026-04-02 18:25:51
H&M,1431217684824277,AliExpress,335963307560,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER","🔥🔥🔥AliExpress.
🛒With millions of products
🤟there's always something on sale! | 🔥🔥🔥AliExpress.
🛒With millions of products
🤟there's always something on sale!",N/A,2025-08-05,2025-09-03,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,2026-04-02 18:25:00
