search_term,ad_id,page_name,page_id,status,platforms,display_format,ad_title,ad_copy_preview,caption,cta_text,link_url,start_date,stop_date,total_active_days,impressions,spend_lower,spend_upper,currency,page_likes,collation_count,categories,targeted_countries,page_profile_url,collected_at
Puma,1379255590887002,807garage.id Authentic Sneaker,1001632409699906,ACTIVE,INSTAGRAM,CAROUSEL,N/A,  |  ,instagram.com,Visit Instagram profile,http://instagram.com/807garage.id,2026-03-03,2026-04-01,28,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,0.0,1.0,UNKNOWN,N/A,https://www.facebook.com/61588416395016/,2026-04-02 18:36:33
Adidas,944520198259112,807garage.id Authentic Sneaker,1001632409699906,ACTIVE,INSTAGRAM,CAROUSEL,N/A,  |  ,instagram.com,Visit Instagram profile,http://instagram.com/807garage.id,2026-03-02,2026-04-01,29,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,0.0,1.0,UNKNOWN,N/A,https://www.facebook.com/61588416395016/,2026-04-02 18:36:07
Puma,2175640773267937,807garage.id Authentic Sneaker,1001632409699906,ACTIVE,INSTAGRAM,CAROUSEL,N/A,  |  ,instagram.com,Visit Instagram profile,http://instagram.com/807garage.id,2026-02-27,2026-04-02,33,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,0.0,1.0,UNKNOWN,N/A,https://www.facebook.com/61588416395016/,2026-04-02 18:36:33
H&M,783270871040370,ABA Bank,126242240741185,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK",IMAGE,N/A,"អ្នកប្រើ ABA Mobile ទទួលបានអត្ថប្រយោជន៍បន្ថែម លើសពីមើលកុន! 🍿🥤
ទិញសំបុត្រកុន Legend Cinema ពីមុខងារ សេវាកម្ម ក្នុង ABA Mobile ដោយចំណាយចាប់ពី $9 អ្នកនឹងរីករាយជាមួយភេសជ្ជៈ − ទិញកែវតូច បានកែវកណ្ដាល!

នៅលើ",N/A,No button,N/A,2025-08-07,2025-12-04,119,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,2467244.0,1.0,UNKNOWN,N/A,https://www.facebook.com/ABA.Bank.Cambodia/,2026-04-02 18:37:56
flash sale,461693866576185,AdvAdvertisements Home,331542593376133,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},"🔥 Sillones, Muebles de Salón y Sofás Clásicos y Modernos de Alta Calidad a Precios de Outlet: ¡No podrás creer estos precios! 🤑 | Sofás sin vender 2023 🛋 : Todos los Tamaños y estilos de los Mejores D",advannunci.it,Learn more,https://advannunci.it/es/search/trends/living-room?utm_source=fb&utm_medium=ppc&utm_campaign={{campaign.id}}&utm_content=6159645204&utm_term=sofa,2024-07-17,2025-04-17,274,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,22416.0,1.0,UNKNOWN,N/A,https://www.facebook.com/AdvAdvertisementsHome/,2026-04-02 18:38:22
H&M,1865475310731463,Akihabara Auctions,110364818266333,INACTIVE,"FACEBOOK, INSTAGRAM",IMAGE,"Akihabara Auctions / 秋葉原拍賣 – Japanese subculture auction / items; Animecel, Soft Vinyls, Sofubi, Sofvi, Figure, Trading cards, Tin toys, VintageToy, Vintage Jeans, Sofbi, 賽璐珞原畫, 軟膠, 搪膠, 動畫","◆ 5th Anniversary Special Auction ◆ [ 2-Day Event ] (#AnimeCel, #Genga, #Douga, #HANKEN)
- Free Participation | Accessible via Mobile/PC | Credit Card Payment Accepted | International Shipping Availab",akihabara-auctions.com,Learn more,https://akihabara-auctions.com/,2025-09-15,2025-09-30,15,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,1637.0,1.0,UNKNOWN,N/A,https://www.facebook.com/JapanesePopCultureAuctions/,2026-04-02 18:37:56
flash sale,3753391578127481,Akulaku Indonesia,278932119108288,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,Promo Flash Sale!⚡,"Kredit Limit hingga 25 Juta! 💳
Belanja kebutuhan besar jadi gampang. **Bebas bunga & DP 0** untuk banyak produk pilihan👍",play.google.com,Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-02-25,2026-04-02,35,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,1013079.0,1.0,UNKNOWN,N/A,https://www.facebook.com/AkuLakuIndonesia/,2026-04-02 18:38:22
flash sale,1861614304497902,Akulaku Indonesia,278932119108288,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",VIDEO,Promo Flash Sale!⚡,"Kredit Limit hingga 25 Juta! 💳
Belanja kebutuhan besar jadi gampang. **Bebas bunga & DP 0** untuk banyak produk pilihan👍",play.google.com,Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-02-24,2026-04-02,36,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,1013079.0,2.0,UNKNOWN,N/A,https://www.facebook.com/AkuLakuIndonesia/,2026-04-02 18:38:22
diskon,744744845015965,Akulaku Indonesia,278932119108288,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",IMAGE,Punya smartphone baru tanpa keluar uang di awal. Cicilan ringan.😍,DP Rp0 + Gratis Ongkir + Diskon Tambahan! Periode terbatas. Jangan lewatkan!⏰,play.google.com,Shop now,http://play.google.com/store/apps/details?id=io.silvrr.installment,2026-01-30,2026-04-02,61,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,1013079.0,1.0,UNKNOWN,N/A,https://www.facebook.com/AkuLakuIndonesia/,2026-04-02 18:38:47
H&M,1431217684824277,AliExpress,335963307560,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DPA,{{product.name}}{{product.current_price strip_zeros}},"🔥🔥🔥AliExpress.
🛒With millions of products
🤟there's always something on sale! | 🔥🔥🔥AliExpress.
🛒With millions of products
🤟there's always something on sale!",play.google.com,Shop now,http://play.google.com/store/apps/details?id=com.alibaba.aliexpresshd,2025-08-05,2025-09-03,29,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,42051493.0,,UNKNOWN,N/A,https://www.facebook.com/AliExpress/,2026-04-02 18:37:56
