search_term,ad_id,page_id,page_name,page_category,page_verified,ig_username,ig_followers,page_likes,status,platforms,display_format,ad_title,ad_copy_preview,cta_text,link_url,start_date,stop_date,total_active_days,impressions,spend_lower,spend_upper,currency,eu_reach,gender_audience,age_audience,categories,targeted_countries,total_ads_found,ad_library_url,page_profile_url,collected_at
flash sale,'1454105005634350,'168481729999,39DollarGlasses.com,Sunglasses & Eyewear Store,NOT_VERIFIED,39dollarglasses,50183,154992,INACTIVE,INSTAGRAM,VIDEO,N/A,TODAY ONLY! ⚡️Flash Sale⚡️,Shop now,https://www.39dollarglasses.com/link/5cce21bc-bd42-4eaa-8341-d6b744a34f5b,2025-08-27,2025-08-28,1,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,1562,All,"{'min': 21, 'max': 65}",UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=1454105005634350,https://www.facebook.com/39dollarglasses/,2026-04-03 05:34:47
Puma,'1419255219695585,'101567606003334,807garage-id3,Footwear store,NOT_VERIFIED,807garage.idn,182532,3493,ACTIVE,INSTAGRAM,CAROUSEL,N/A,"Kalo jabatan kamu dihubungan apa nih? 🫣🤭

𝗕𝗡𝗜𝗕 • 𝗔𝘂𝘁𝗵𝗲𝗻𝘁𝗶𝗰 • 𝟭𝟬𝟬% 𝗢𝗿𝗶𝗴𝗶𝗻𝗮𝗹 𝗣𝗿𝗼𝗱𝘂𝗰𝘁
______________
Shop Online 𝟮𝟰/𝟳 : 
𝘄𝘄𝘄.𝟴𝟬𝟳𝗚𝗔𝗥𝗔𝗚𝗘.𝗰𝗼𝗺
WhatsApp +62 812 6000 9807
WhatsApp +62 812 6000 0807
Shopee | Tokopedia | Tiktok : 𝟴𝟬𝟳𝗚𝗔𝗥𝗔𝗚𝗘

𝗔𝘂𝘁𝗵𝗲𝗻𝘁𝗶𝗰. 𝗧𝗿𝘂𝘀𝘁𝗲𝗱. 𝗕𝗲𝘀𝘁 𝗣𝗿𝗶𝗰𝗲.
♾ Klik the link in bio for more info ",Visit Instagram profile,http://instagram.com/807garage.idn,2026-01-23,2026-04-02,69,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,12482,https://www.facebook.com/ads/library/?id=1419255219695585,https://www.facebook.com/100084439932545/,2026-04-03 05:30:23
Puma,'1379255590887002,'1001632409699906,807garage.id Authentic Sneaker,Footwear store,NOT_VERIFIED,807garage.id,2524519,0,ACTIVE,INSTAGRAM,CAROUSEL,N/A,"Speedcat McLaren Black Bright Papaya 🏎️🏁🚀
Swipe Swipe 📲

Siluet racing yang sleek, low profile khas Speedcat, dibalut warna hitam bold dengan sentuhan Bright Papaya yang eye-catching banget. Secure yours now sebelum kehabisan! 🚀🏁🛒🏎️🚏

Cuma di 807GARAGE kamu bisa dapet Free Socks dan Voucher 300 ribu",Visit Instagram profile,http://instagram.com/807garage.id,2026-03-03,2026-04-01,29,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,12482,https://www.facebook.com/ads/library/?id=1379255590887002,https://www.facebook.com/61588416395016/,2026-04-03 05:30:23
Puma,'2175640773267937,'1001632409699906,807garage.id Authentic Sneaker,Shoe shop,NOT_VERIFIED,807garage.id,2524519,0,ACTIVE,INSTAGRAM,CAROUSEL,N/A,"Speedcat OG Frosted Ivory 🎀🏃🏻‍♀️🛍️
Swipe Right 📲

Clean look, bold attitude. Siluet racing icon dari track ke street, tampil sleek dengan warna Frosted Ivory yang soft tapi tetap standout. Ready to level up your rotation? Gas before it’s gone! 🏃🏻‍♀️🎀💝🚏🛒

Cicilan dan pengiriman Sameday only at Tokope",Visit Instagram profile,http://instagram.com/807garage.id,2026-02-27,2026-04-02,34,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,12482,https://www.facebook.com/ads/library/?id=2175640773267937,https://www.facebook.com/61588416395016/,2026-04-03 05:30:23
Puma,'911204111566445,'824362560769212,99notoutind,Sports,NOT_VERIFIED,99notoutind,5337,0,INACTIVE,INSTAGRAM,VIDEO,N/A,"Meet @a.s.h.h.a.d._0 from Bombay— winner of @99notoutind's second giveaway.

He’s taking home PUMA cricket shoes 👟
No catch. No gimmicks. Just real cricket rewards for real fans.

And we’re not slowing down.

We’re doing weekly giveaways — and yes, the grand prize is a trip to New Zealand 🇳🇿 to meet",Visit Instagram profile,http://instagram.com/99notoutind,2026-01-15,2026-01-30,15,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,197,All,"{'min': 21, 'max': 55}",UNKNOWN,,12482,https://www.facebook.com/ads/library/?id=911204111566445,https://www.facebook.com/61583869017947/,2026-04-03 05:30:23
Zara,'1299383764973044,'277336065473798,Ace Alliance,Game Publisher,NOT_VERIFIED,N/A,N/A,40928,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},{{product.brand}},Play game,https://itunes.apple.com/WebObjects/MZStore.woa/wa/redirectToContent?id=6504855814,2025-09-30,2025-10-24,24,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,6813,Men,"{'min': 18, 'max': 65}",UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=1299383764973044,https://www.facebook.com/AceAlliance.en/,2026-04-03 05:32:42
Nike Indonesia,'194468140391093,'203245649532152,Adhy Sarphio,Youth Organization,NOT_VERIFIED,adhy_sarphio,241,633,INACTIVE,"FACEBOOK, INSTAGRAM",IMAGE,Adhy Sarphio,"Selama masih diberi kesempatan, kuatkan niat utk menebar manfaat kepada orang banyak..""

Alhamdulillah kegiatan Gelar bakti sosial IMI Babel berjalan dgn baik.. Terima kasih atas dukungan kawan2 yg turut serta membantu..🙏🙏

Bentuk kepadulian untuk seperadik kite..
• 87 buah kacamata untuk anak-anak
",Learn more,https://adhysarphio.com/halaman-utama,2024-01-31,2024-02-02,2,15K - 20K,N/A,N/A,IDR,N/A,N/A,N/A,POLITICAL,,299,https://www.facebook.com/ads/library/?id=194468140391093,https://www.facebook.com/adhysarphio/,2026-04-03 05:28:23
Nike Indonesia,'1435171534081145,'203245649532152,Adhy Sarphio,Youth Organization,NOT_VERIFIED,adhy_sarphio,241,633,INACTIVE,"FACEBOOK, INSTAGRAM",IMAGE,Adhy Sarphio,"Selama masih diberi kesempatan, kuatkan niat utk menebar manfaat kepada orang banyak..""

Alhamdulillah kegiatan Gelar bakti sosial IMI Babel berjalan dgn baik.. Terima kasih atas dukungan kawan2 yg turut serta membantu..🙏🙏

Bentuk kepadulian untuk seperadik kite..
• 87 buah kacamata untuk anak-anak
",Learn more,https://adhysarphio.com/halaman-utama,2024-01-26,2024-01-28,2,40K - 45K,N/A,N/A,IDR,N/A,N/A,N/A,POLITICAL,,299,https://www.facebook.com/ads/library/?id=1435171534081145,https://www.facebook.com/adhysarphio/,2026-04-03 05:28:23
flash sale,'461693866576185,'331542593376133,AdvAdvertisements Home,Entertainment website,NOT_VERIFIED,N/A,N/A,22415,INACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},{{product.brand}},Learn more,https://advannunci.it/es/search/trends/living-room?utm_source=fb&utm_medium=ppc&utm_campaign={{campaign.id}}&utm_content=6159645204&utm_term=sofa,2024-07-17,2025-04-17,274,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,9767,All,"{'min': 18, 'max': 65}",UNKNOWN,,50001,https://www.facebook.com/ads/library/?id=461693866576185,https://www.facebook.com/AdvAdvertisementsHome/,2026-04-03 05:34:47
Adidas Indonesia,'1607005587180027,'330509656807912,Agora Mall,Shopping centre,NOT_VERIFIED,agora.lifestylemall,14539,80,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, WHATSAPP",CAROUSEL,Agora Mall,"[CALLING ALL TENANTS]
Agora now open to lease for your brand! Ready to elevate your brands at the hypest mall in the heart of Jakarta?

Contact us: + 62 811 306 399 (Chat only)

#AgoraMall #GoAgora #CallingAllTenant #TenantLease",Send WhatsApp message,https://api.whatsapp.com/send,2026-03-17,2026-04-02,16,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,N/A,N/A,N/A,UNKNOWN,,247,https://www.facebook.com/ads/library/?id=1607005587180027,https://www.facebook.com/61559489440383/,2026-04-03 05:29:24
